1,Dictionary,9.99,2011-01-01 23:30:00+03:30,,{Book}
2,Python Book,29.99,2011-01-01 23:30:00+03:30,,{Book,Programming,Python}
3,Ruby Book,27.99,2011-01-01 23:30:00+03:30,,{Book,Programming,Ruby}
4,Baby Book,7.99,2011-01-01 23:30:00+03:30,,{Book,Children,Baby}
5,Coloring Book,5.99,2011-01-01 23:30:00+03:30,,{Book,Children}
6,Desktop Computer,499.99,2011-01-01 23:30:00+03:30,,{Technology}
7,Laptop Computer,899.99,2011-01-01 23:30:00+03:30,,{Technology}
8,MP3 Player,108.00,2011-01-01 23:30:00+03:30,,{Technology,Music}
9,42" LCD TV,499.00,2011-01-01 23:30:00+03:30,,{Technology,TV}
10,42" Plasma TV,529.00,2011-01-01 23:30:00+03:30,,{Technology,TV}
11,Classical CD,9.99,2011-01-01 23:30:00+03:30,,{Music}
12,Holiday CD,9.99,2011-01-01 23:30:00+03:30,,{Music}
